Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-07-02,4204.54,4206.95,4182.58,4202.52,3525455
2018-07-03,4191.04,4217.85,4182.71,4206.83,4930324
2018-07-04,4203.28,4260.71,4203.28,4260.71,4212222
2018-07-05,4247.38,4288.7,4247.17,4253.36,6677890
2018-07-06,4250.1,4258.59,4192.5,4197.27,6368409
2018-07-09,4194.38,4210.18,4159.06,4174.53,4215873
2018-07-10,4173.98,4228.91,4173.98,4225.96,4817258
2018-07-11,4200.97,4208.88,4186.25,4203.83,6128416
2018-07-12,4210.38,4219.05,4194.91,4207.61,4921489
2018-07-13,4208.64,4221.36,4187.57,4210.19,3947434
2018-07-16,4214.05,4218.11,4192.43,4216.63,3378719
2018-07-17,4214.05,4217.9,4185.55,4191.77,5364474
2018-07-18,4189.08,4207.08,4178.1,4198.92,6329746
2018-07-19,4196.53,4205.51,4187.72,4205.05,6224329
2018-07-20,4207.49,4218.01,4192.82,4215.95,9114737
2018-07-23,4217.28,4253.89,4217.28,4241.92,4309927
2018-07-24,4231.96,4280.15,4231.96,4277.87,5049980
2018-07-25,4285.89,4293.7,4264.94,4288.36,4271055
2018-07-26,4289.11,4320.14,4286.19,4320.14,6142375
2018-07-27,4333.39,4342.28,4308.46,4318.24,8298195
2018-07-30,4299.23,4329.66,4299.23,4320.33,6856486
2018-07-31,4321.51,4349.85,4321.51,4343.98,7110377
2018-08-01,4353.91,4363.5,4336.25,4352.36,4930229
2018-08-02,4341.35,4343.81,4302.66,4302.79,5321581
2018-08-03,4309.1,4318.78,4299.16,4316.37,4969737
2018-08-06,4316.16,4319.96,4291.71,4301.74,3817940
2018-08-07,4297.84,4321.57,4289,4308.54,15447158
2018-08-08,4310.92,4353.02,4309.71,4350.98,13875257
2018-08-09,4347,4363.13,4330.94,4363.13,18196739
2018-08-10,4354.32,4355.01,4269.7,4280.49,11632628
2018-08-13,4271.94,4273.11,4224.93,4237.69,13524648
2018-08-14,4239.48,4248.16,4232.36,4241.19,19111211
2018-08-16,4224.5,4238.4,4202.3,4238.4,15801796
2018-08-17,4239.8,4257.01,4229.57,4240.04,22702919
2018-08-20,4242.42,4246.81,4223.27,4225.97,20738483
2018-08-21,4227.27,4251.23,4221.55,4251.23,17213665
2018-08-22,4262.86,4268.23,4238.37,4251.14,16890007
2018-08-23,4253.79,4257.26,4235.15,4253.59,12400920
2018-08-24,4252.02,4267.84,4250.1,4262.47,8663386
2018-08-27,4271,4308.72,4266.71,4308.72,8823285
2018-08-28,4322.85,4330.72,4296.2,4305.34,12078862
2018-08-29,4310.74,4310.74,4287.01,4300.36,9559103
2018-08-30,4315.73,4319.76,4266.25,4277.29,5781413
2018-08-31,4268.14,4268.14,4218.9,4231.06,19835579
2018-09-03,4230.4,4255.4,4189.32,4190.6,16463809
2018-09-04,4194.66,4203.17,4112.3,4126.45,13562277
2018-09-05,4114.4,4121.87,4067.68,4067.68,12539376
2018-09-06,4062.45,4062.5,4007.31,4020.43,16674715
2018-09-07,4017.3,4019.34,3939.02,3956.78,12102285
2018-09-10,3959.86,3969,3928.9,3962.91,9738990
2018-09-11,3964.87,3968.29,3918.11,3921.92,11046282
2018-09-12,3944.4,3946.11,3904.71,3921.27,13186772
2018-09-13,3930.53,3985.77,3927.22,3985.77,9184531
2018-09-14,3989.12,4038.65,3983.55,4038.65,13648509
2018-09-17,4032.26,4032.26,3969.33,3969.33,14209836
2018-09-18,3980.5,4002.26,3965.09,3996.89,11677289
2018-09-19,4010.49,4028.62,3999.31,4023.37,8195193
2018-09-20,4026.17,4063.38,4026.08,4063.38,22478870
2018-09-21,4058.65,4094.45,4057.98,4071.02,42196890
2018-09-24,4062.04,4153.82,4062.04,4145.13,13167939
2018-09-25,4138.1,4179.48,4137.02,4158.01,7210129
2018-09-26,4169.79,4198.51,4167.24,4193.5,7207195
2018-09-27,4191.31,4196.48,4170.65,4188.54,5801173
2018-09-28,4187.96,4193.08,4144.39,4168.97,8692968
2018-10-01,4168.94,4191.23,4161.13,4166.28,4394023
2018-10-02,4166.04,4167.57,4141.09,4151.07,3988522
2018-10-03,4151.23,4174.92,4151.23,4162.39,5910061
2018-10-04,4165.24,4165.89,4140.47,4148.96,6285871
2018-10-05,4145.46,4153.02,4105.7,4113.67,7179325
2018-10-08,4104.6,4106.97,4057.57,4061.64,4501718
2018-10-09,4062,4070.78,4025.2,4025.2,4542088
2018-10-10,4052.36,4054.08,3987.89,3996.19,6656241
2018-10-11,3922.82,3952.13,3914.63,3941.47,12870539
